ufcstats_id,fighter_name,date_of_birth,espn_id,sherdog_id
1338e2c7480bdf9e,Israel Adesanya,7/22/1989,,
7a703c565ccaa18f,Jacare Souza,12/7/1979,,
0a1942069c9ad6b6,Jack Hermansson,6/10/1988,,
045f25b3a4c08e81,Jack Marshman,12/19/1989,,
b8a85389d115e35a,Jack Shore,2/6/1995,,
637bd06c32219f0b,Jacob Kilburn,6/28/1995,,
d4270315cbcf2569,Jacob Malkoun,8/26/1995,,
4c88a1db5a46c6a4,Jai Herbert,5/13/1988,,
2cd428e9606856fd,Jairzinho Rozenstruik,3/17/1988,,
92fa1401b7927da3,Jake Collier,10/25/1988,,
a845f0735bc67405,Jake Matthews,8/19/1994,,
4d8fa64202cee4c1,Jalin Turner,5/18/1995,,
5444c5a201d3ee5a,Jamahal Hill,5/19/1991,,
e00a3dee329a51f7,Jamall Emmers,7/24/1989,,
8f6a18831a120817,James Krause,6/4/1986,,
6256b2b1562cb8e1,James Vick,2/23/1987,,
f0fad0e9f3b65752,Jamey Simmons,9/11/1992,,
af9f42e6894047fc,Jamie Mullarkey,8/17/1994,,
830f60497fab345a,Jamie Pickett,8/29/1988,,
99df7d0a2a08a8a8,Jan Blachowicz,2/24/1983,,
13a0275fa13c4d26,Jared Cannonier,3/16/1984,,
c730a0be691dc081,Jared Gooden,12/5/1993,,
7026eca45f65377b,Jared Gordon,9/6/1988,,
e45cfa47f504033a,Jason Gonzalez,2/28/1990,,
5f3805dda9661cba,Jason Witt,11/7/1986,,
6a11e325aa60ad02,Jeff Hughes,5/17/1988,,
8e1f36476ef02a6a,Jennifer Maia,10/6/1988,,
18968f97ad34f15c,Jeremy Stephens,5/25/1986,,
c9587d81e1d33925,Jerome Rivera,4/22/1995,,
5580771f383e141f,Jesse Ronson,12/24/1985,,
8f382b3baa954d2a,Jessica Aguilar,5/8/1982,,
6a1901c62ab3870f,Jessica Andrade,9/25/1991,,
f72465a784c1b084,Jessica Eye,7/27/1986,,
6c8072b61c276e67,Jessica-Rose Clark,11/28/1987,,
6eaec40f724852f4,Jessin Ayari,5/31/1992,,
25af5e832f17b474,Jesus Pinedo,6/22/1996,,
a20f234df70f2182,Ji Yeon Kim,10/18/1989,,
d1941565abf50b16,Jim Miller,8/30/1983,,
1e1dbd1cc5a7469e,Jimi Manuwa,2/18/1980,,
9c907996820d2d69,Jimmie Rivera,6/29/1989,,
70e1f8a821b72c8b,Jimmy Crute,3/4/1996,,
09e62c450e754913,Jimmy Flick,9/7/1990,,
7c9c6a884be167fe,Jin Soo Son,4/1/1993,,
d05cb1e8d1b885d8,Jinh Yu Frey,5/20/1985,,
009341ed974bad72,Jiri Prochazka,10/14/1992,,
6fd953151d981979,JJ Aldrich,9/29/1992,,
3d6749c4267da18f,Joanna Jedrzejczyk,8/18/1987,,
12f91bfa8f1f723b,Joanne Calderwood,12/23/1985,,
ae7fe94f117f98cf,Joaquim Silva,2/5/1989,,
b9437600497350f3,Joaquin Buckley,4/27/1994,,
411539901068522f,Jodie Esquibel,5/7/1986,,
654ae722109a0d31,Joe Duffy,2/18/1988,,
3bad7ef643840f67,Joe Lauzon,5/22/1984,,
af65aa688d13eedf,Joe Solecki,8/27/1993,,
58bbef3770bb2dfc,Joel Alvarez,3/2/1994,,
6ebe96a116e79e52,John Allan,2/22/1993,,
5fa2974cbd18e05c,John Castaneda,12/18/1991,,
99506df1af6c8b3b,John Dodson,9/26/1984,,
c268b2cfebccf652,John Lineker,6/12/1990,,
