fight_id,ufcstats_id,round,fighter_round_knockdowns,fighter_round_sig_strikes_landed,fighter_round_sig_strikes_attempted,fighter_round_sig_strike_percentage,fighter_round_strikes_landed,fighter_round_strikes_attempted,fighter_round_strike_percentage,fighter_round_takedowns,fighter_round_takedowns_attempted,fighter_round_takedowns_percentage,fighter_round_submission_attempts,fighter_round_reversals,fighter_round_control,fighter_round_sig_strikes_head_landed,fighter_round_sig_strikes_head_attempts,fighter_round_sig_strikes_head_percentage,fighter_round_sig_strikes_body_landed,fighter_round_sig_strikes_body_attempts,fighter_round_sig_strikes_body_percentage,fighter_round_sig_strikes_leg_landed,fighter_round_sig_strikes_leg_attempts,fighter_round_sig_strikes_leg_percentage,fighter_round_sig_strikes_distance_landed,fighter_round_sig_strikes_distance_attempts,fighter_round_sig_strikes_distance_percentage,fighter_round_sig_strikes_clinch_landed,fighter_round_sig_strikes_clinch_attempts,fighter_round_sig_strikes_clinch_percentage,fighter_round_sig_strikes_ground_landed,fighter_round_sig_strikes_ground_attempts,fighter_round_sig_strikes_ground_percentage
bef2a2e68fb4dfa8,ce1e867808ef5fce,1,1,38,55,69,47,64,73,0,0,0,0,0,32,34,51,66,4,4,100,0,0,0,21,34,61,5,6,83,12,15,80
bef2a2e68fb4dfa8,ce1e867808ef5fce,2,0,21,29,72,48,57,84,1,1,100,0,0,114,19,27,70,2,2,100,0,0,0,16,24,66,0,0,0,5,5,100
bef2a2e68fb4dfa8,ce1e867808ef5fce,3,0,17,25,68,23,32,71,0,1,0,0,0,34,15,23,65,2,2,100,0,0,0,16,24,66,1,1,100,0,0,0
bef4df43d6052a02,396fe87b84ac2e1c,1,0,5,13,38,20,28,71,0,0,0,1,0,0,0,6,0,2,4,50,3,3,100,5,13,38,0,0,0,0,0,0
bef4df43d6052a02,396fe87b84ac2e1c,2,0,14,38,36,25,49,51,0,0,0,1,1,11,8,30,26,6,8,75,0,0,0,10,34,29,1,1,100,3,3,100
bef4df43d6052a02,396fe87b84ac2e1c,3,0,9,27,33,20,39,51,0,0,0,0,0,0,4,19,21,5,8,62,0,0,0,8,26,30,1,1,100,0,0,0
bef4df43d6052a02,aceffa19749c4dc0,1,1,16,31,51,19,37,51,2,2,100,0,0,216,14,26,53,2,5,40,0,0,0,4,10,40,7,11,63,5,10,50
bef4df43d6052a02,aceffa19749c4dc0,2,0,4,19,21,5,20,25,2,2,100,0,1,163,4,19,21,0,0,0,0,0,0,4,19,21,0,0,0,0,0,0
bef4df43d6052a02,aceffa19749c4dc0,3,0,2,8,25,4,11,36,2,4,50,0,0,191,2,8,25,0,0,0,0,0,0,2,8,25,0,0,0,0,0,0
bf2a9732af50c84c,3974fa35c917af1d,1,0,12,29,41,12,29,41,0,1,0,0,0,0,2,12,16,4,5,80,6,12,50,12,29,41,0,0,0,0,0,0
bf2a9732af50c84c,751de04455cfaac0,1,1,22,41,53,22,41,53,0,0,0,0,0,2,11,28,39,11,13,84,0,0,0,16,34,47,2,2,100,4,5,80
bf334cb4e63f3430,7a5e8c94a86f9895,1,0,16,37,43,18,39,46,0,0,0,0,0,4,11,29,37,0,3,0,5,5,100,16,36,44,0,1,0,0,0,0
bf334cb4e63f3430,7a5e8c94a86f9895,2,0,38,61,62,65,93,69,0,0,0,0,0,63,37,60,61,1,1,100,0,0,0,9,15,60,1,4,25,28,42,66
bf334cb4e63f3430,92fa1401b7927da3,1,1,42,81,51,48,90,53,1,1,100,1,0,86,32,70,45,9,10,90,1,1,100,22,57,38,10,12,83,10,12,83
bf334cb4e63f3430,92fa1401b7927da3,2,0,9,17,52,9,17,52,0,1,0,0,0,0,8,15,53,1,2,50,0,0,0,6,13,46,3,4,75,0,0,0
bf41783b9446891e,4ba8d454f762005d,1,0,13,40,32,18,45,40,0,2,0,0,0,17,6,30,20,1,2,50,6,8,75,12,38,31,1,2,50,0,0,0
bf41783b9446891e,4ba8d454f762005d,2,0,22,68,32,22,68,32,0,1,0,0,0,0,12,56,21,2,3,66,8,9,88,22,67,32,0,1,0,0,0,0
bf41783b9446891e,4ba8d454f762005d,3,1,21,31,67,23,34,67,0,2,0,0,0,107,12,22,54,6,6,100,3,3,100,14,23,60,3,4,75,4,4,100
bf41783b9446891e,f797f0c57a83353e,1,0,18,33,54,21,36,58,0,0,0,0,0,0,12,24,50,6,7,85,0,2,0,15,28,53,3,5,60,0,0,0
bf41783b9446891e,f797f0c57a83353e,2,0,19,42,45,19,42,45,0,0,0,0,0,0,17,37,45,2,4,50,0,1,0,18,40,45,1,2,50,0,0,0
bf41783b9446891e,f797f0c57a83353e,3,0,17,28,60,33,50,66,0,0,0,0,1,126,13,24,54,3,3,100,1,1,100,8,13,61,1,2,50,8,13,61
bf59d9f8bd9536f3,4b47e71384a9522f,1,0,17,49,34,21,53,39,0,0,0,0,0,26,8,27,29,3,14,21,6,8,75,13,43,30,4,6,66,0,0,0
bf59d9f8bd9536f3,4b47e71384a9522f,2,0,20,53,37,48,83,57,0,0,0,0,0,0,7,32,21,8,15,53,5,6,83,20,53,37,0,0,0,0,0,0
bf59d9f8bd9536f3,4b47e71384a9522f,3,0,10,13,76,74,79,93,3,5,60,0,0,61,3,5,60,7,7,100,0,1,0,4,7,57,3,3,100,3,3,100
bf59d9f8bd9536f3,b0d6a1d8ac3d563d,1,1,25,42,59,26,43,60,0,2,0,0,0,54,16,29,55,7,9,77,2,4,50,20,34,58,1,1,100,4,7,57
bf59d9f8bd9536f3,b0d6a1d8ac3d563d,2,0,13,29,44,14,31,45,1,2,50,0,0,35,5,16,31,2,6,33,6,7,85,13,29,44,0,0,0,0,0,0
bf59d9f8bd9536f3,b0d6a1d8ac3d563d,3,0,4,7,57,16,22,72,2,2,100,0,0,224,4,7,57,0,0,0,0,0,0,2,3,66,0,0,0,2,4,50
bf614956b28f231c,49b130de1da2e1bf,1,0,7,13,53,15,21,71,1,3,33,0,0,122,2,6,33,0,1,0,5,6,83,7,13,53,0,0,0,0,0,0
bf614956b28f231c,49b130de1da2e1bf,2,0,4,10,40,10,16,62,1,5,20,0,0,79,1,5,20,2,2,100,1,3,33,4,10,40,0,0,0,0,0,0
bf614956b28f231c,49b130de1da2e1bf,3,0,1,7,14,1,7,14,0,3,0,0,0,7,0,4,0,1,3,33,0,0,0,1,7,14,0,0,0,0,0,0
bf614956b28f231c,6c8072b61c276e67,1,0,16,22,72,27,35,77,1,1,100,0,0,121,15,21,71,1,1,100,0,0,0,6,12,50,5,5,100,5,5,100
bf614956b28f231c,6c8072b61c276e67,2,0,32,45,71,53,76,69,0,0,0,0,0,156,26,38,68,5,6,83,1,1,100,4,9,44,13,15,86,15,21,71
bf614956b28f231c,6c8072b61c276e67,3,0,28,39,71,44,64,68,0,0,0,0,0,221,25,36,69,3,3,100,0,0,0,5,9,55,7,9,77,16,21,76
