ufcstats_id,first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws,belt
497ba5b12a4bfc47,Jason,Brilz,Jason Brilz,Hitman,"5' 11""",205,71.0,Orthodox,22,6,1,False
81801f57bd0a7c41,Marcus,Brimage,Marcus Brimage,The Bama Beast,"5' 4""",135,71.0,Southpaw,7,7,0,False
cf1a88371c8cb690,Aaron,Brink,Aaron Brink,,"6' 3""",205,,Orthodox,26,26,0,False
01fcef7e3d051722,Henry,Briones,Henry Briones,Bure,"5' 8""",135,69.0,Orthodox,16,8,1,False
3a97fda0de6f1fa4,Marcelo,Brito,Marcelo Brito,Jungle Boy,"6' 1""",170,,Orthodox,13,8,0,False
791c8437b341fba5,Joanderson,Brito,Joanderson Brito,Tubarao,"5' 8""",145,72.0,Orthodox,17,5,1,False
b07f14fc0e53f8bd,Kaik,Brito,Kaik Brito,,"5' 11""",170,72.0,Orthodox,16,5,0,False
06dd61c8d545c63f,Icaro,Brito,Icaro Brito,,--,145,,,7,1,0,False
2833f50b20e96e52,Antwain,Britt,Antwain Britt,The Juggernaut,"6' 1""",205,77.0,,11,6,0,False
aa571d75f80fde7d,Drew,Brokenshire,Drew Brokenshire,,--,,,,16,6,0,False
df3c39573d01f55b,Mike,Bronzoulis,Mike Bronzoulis,The Greek,"6' 0""",155,,,18,9,1,False
b0a6124751a56bc4,Jonathan,Brookins,Jonathan Brookins,,"6' 0""",145,74.0,Southpaw,16,10,0,False
b6e6c3b1dcaae0a1,Will,Brooks,Will Brooks,Ill,"5' 10""",155,72.0,Orthodox,18,4,0,False
81d9df19e255b8b6,Jarred,Brooks,Jarred Brooks,The Monkey God,"5' 3""",125,62.0,Switch,13,2,0,False
a7d687e6ecb30981,Rob,Broughton,Rob Broughton,The Bear,"6' 2""",265,74.0,Orthodox,16,7,1,False
0974d8d4053a7237,Lee,Brousseau,Lee Brousseau,Manimal,"6' 1""",205,,,5,3,0,False
31123249b0bbf52e,Matt,Brown,Matt Brown,The Immortal,"6' 0""",170,75.0,Orthodox,26,19,0,False
e0b74df14f52cd15,Mike,Brown,Mike Brown,,"5' 6""",145,70.0,Orthodox,26,9,0,False
52b3ec072ad497a4,Dominic,Brown,Dominic Brown,,"5' 11""",190,,,16,23,0,False
9b68bf67c5695185,Todd,Brown,Todd Brown,Bulldog,"5' 11""",205,,Orthodox,16,4,0,False
85df85a4e276c90e,Terrell,Brown,Terrell Brown,,--,185,,,3,1,0,False
9e2624ac992660c6,Chris,Brown,Chris Brown,,--,170,,,10,1,0,False
880c6b788266a3ef,Frederick,Brown,Frederick Brown,,"6' 0""",235,,,3,2,0,False
c6aee362c7a7d482,Randy,Brown,Randy Brown,Rudeboy,"6' 3""",170,78.0,Orthodox,20,7,0,False
d024ed963e8bf7ea,Damien,Brown,Damien Brown,Beatdown,"5' 10""",155,68.0,Orthodox,17,12,0,False
d31cbcdd7d69536d,TJ,Brown,TJ Brown,Downtown,"5' 9""",145,72.0,Switch,17,11,0,False
e9e7e1c8ff289e1b,Humberto,Brown Morrison,Humberto Brown Morrison,,"5' 10""",145,,,4,6,0,False
3236bf606fe9fa5b,Travis,Browne,Travis Browne,Hapa,"6' 6""",255,79.0,Orthodox,18,7,1,False
d74cba8566291bfa,Junie,Browning,Junie Browning,,"5' 9""",155,,Orthodox,5,6,0,False
d1dcd4e96464a53d,Jules,Bruchez,Jules Bruchez,,"6' 0""",205,,Southpaw,1,2,0,False
5f8e00c27b7e7410,Justin,Bruckmann,Justin Bruckmann,Loaf,"5' 9""",170,,Orthodox,7,3,0,False
f14f644d41ade29f,Cody,Brundage,Cody Brundage,,"6' 0""",185,72.0,Orthodox,11,7,1,False
2f3f12002564bb55,Steve,Bruno,Steve Bruno,Hollywood,"5' 10""",170,,Orthodox,15,6,0,False
